id,hebrew,transliterated
3928,במערב,bmyrb
3929,בו את המקביל הפולני לדור של היוצרים,bw at hmqbil hpwlni ldwr el hiwcrim
3930,הצעירים הזועמים,hcyirim hzwymim
3931,מאנגליה,manglih
3932,בעזרת קולנוע וכתיבה נאו,byzrt qwlnwy wktibh naw
3933,ריאליסטית את החיים כפי שהם,rialisvit at hxiim kpi ehm
3934,היום,hiwm
3935,של השבוע,el hebwy
3936,תורגם ל לשונות,twrgm l lewnwt
3937,וכעבור שנתיים,wkybwr entiim
3938,ב8591,b8591
3939,זכה לגרסה,zkh lgrsh
3940,שהוצגה בפסטיבל הסרטים בקאן,ehwcgh bpsvibl hsrvim bqan
3941,לחלאסקו טרם מלאו אז  שנים,lxlasqw vrm mlaw az  enim
3942,הפרסים הספרותיים,hprsim hsprwtiim
3943,היוקרה וההערצה לגיבור התרבות החדש של פולין המשיכו לזרום,hiwqrh whhyrch lgibwr htrbwt hxde el pwlin hmeikw lzrwm
3944,אבל מתחת,abl mtxt
3945,השטח החלה לתסוס מציאות חדשה,hevx hxlh ltsws mciawt xdeh
3946,ימי,imi
3947,הפולני,hpwlni
3948,שבאוקטובר,ebawqvwbr
3949,העלה לשלטון את ולדיסלב גומולקה,hylh lelvwn at wldislb gwmwlqh
3950,לא ארכו זמן רב,la arkw zmn rb
3951,והשמרנות,whemrnwt
3952,של המפלגה הקומוניסטית חזרו ותפסו את מקומם הדומיננטי בחיי הארץ,el hmplgh hqwmwnisvit xzrw wtpsw at mqwmm hdwminnvi bxii harc
3953,פינתה מקומה לאכזבה ותסכול,pinth mqwmh lakzbh wtskwl
3954,על אף שברוב יצירותיו מאותה תקופה לא תקף,yl ap ebrwb icirwtiw mawth tqwph la tqp
3955,את הסדר הקיים ואת האורתודוקסיה של הריאליזם הסוציאליסטי,at hsdr hqiim wat hawrtwdwqsih el hrializm hswcialisvi
3956,והעדיף,whydip
3957,בניסיון האנושי,bnisiwn hanwei
3958,לא יכולה היתה המפלגה לשאת את אופיו המרדני והנון,la ikwlh hith hmplgh leat at awpiw hmrdni whnwn
3959,קונפורמיסטי,qwnpwrmisvi
3960,לשונו החריפה,lewnw hxriph
3961,עינו החדה ועמדת התצפית המיוחדת שלו על החיים,yinw hxdh wymdt htcpit hmiwxdt elw yl hxiim
3962,לו את הערצת הצעירים,lw at hyrct hcyirim
3963,הם גם שהביאו עליו את חרון אפם של הבוסים,hm gm ehbiaw yliw at xrwn apm el hbwsim
3964,וגם של הכנסייה הקתולית,wgm el hknsiih hqtwlit
3965,שהשימו עצמם להיות שומרי החומות של התרבות,eheimw ycmm lhiwt ewmri hxwmwt el htrbwt
3966,הכוכב והסמל,hkwkb whsml
3967,חלאסקו הגיבור המורד,xlasqw hgibwr hmwrd
3968,המעדיף את רגשות האנוש על פני,hmydip at rgewt hanwe yl pni
3969,הפוליטי ואת עצמאות המחשבה על פני האמירה הקולקטיווית,hpwlivi wat ycmawt hmxebh yl pni hamirh hqwlqviwwit
3970,היה עד מהרה,hih yd mhrh
3971,לממסדים של פולין,lmmsdim el pwlin
3972,וכשיצא ב לסיור במערב הם ניצלו את ההזדמנות,wkeica b lsiwr bmyrb hm niclw at hhzdmnwt
3973,בו,bw
3974,העיתונות הרשמית מטעם כינתה אותו,hyitwnwt hremit mvym kinth awtw
3975,איום ניהיליסטי,aiwm nihilisvi
3976,וגינתה,wginth
3977,על,yl
3978,העדר אידיאולוגיה וקולקטיוויות,hydr aidiawlwgih wqwlqviwwiwt
3979,אך יותר מכל פגע בו סירובם של,ak iwtr mkl pgy bw sirwbm el
3980,והצנזורה להתיר לפרסום שתי נובלות קצרות,whcnzwrh lhtir lprswm eti nwblwt qcrwt
3981,הקבר,hqbr
3982,הבאה,hbah
3983,עדן,ydn
3984,על אף העובדה שאחד מהם עבד כבר קודם לכן לסרט,yl ap hywbdh eaxd mhm ybd kbr qwdm lkn lsrv
3985,ברוב ייאושו,brwb iiawew
3986,מסר חלאסקו את שני הסיפורים לכתב,msr xlasqw at eni hsipwrim lktb
3987,העת רב ההשפעה,hyt rb hhepyh
3988,קולטורה,qwlvwrh
3989,בלתי רשמי של הפזורה האנטי,blti remi el hpzwrh hanvi
3990,קומוניסטית בפריס,qwmwnisvit bpris
3991,בעיני השלטונות היה,byini helvwnwt hih
3992,בחוץ לארץ,bxwc larc
3993,ועוד בכתב העת השנוא,wywd bktb hyt henwa
3994,פשע חסר תקנה,pey xsr tqnh
3995,הם סירבו להאריך,hm sirbw lharik
3996,אשרת השהייה שלו,aert hehiih elw
3997,ודרשו שישוב מיד,wdrew eiewb mid
3998,חלאסקו ידע שאם ישוב,xlasqw idy eam iewb
3999,הוא,hwa
4000,וימנעו ממנו לפרסם וליצור,wimnyw mmnw lprsm wlicwr
4001,על אף שכתב כי,yl ap ektb ki
4002,כל מה שלא בא מפולין או,kl mh ela ba mpwlin aw
4003,קשור אליה אינו מעניין אותי,qewr alih ainw myniin awti
4004,החליט להישאר במערב עד יעבור זעם,hxliv lhiear bmyrb yd iybwr zym
4005,הזעם לא חלף,hzym la xlp
4006,והוא מצא עצמו נודד מצרפת לאיטליה,whwa mca ycmw nwdd mcrpt laivlih
4007,לשוויץ,lewwic
4008,למערב גרמניה,lmyrb grmnih
4009,ולבסוף,wlbswp
4010,בשלהי  לישראל,belhi  lieral
4011,מדוע החליט להגר דווקא לכאן,mdwy hxliv lhgr dwwqa lkan
4012,ביחס לכך שונות,bixs lkk ewnwt
4013,האחת טוענת כי הוא הוזמן על,haxt vwynt ki hwa hwzmn yl
4014,ידי ידידו יאנק ריסקי,idi ididw ianq risqi
4015,סופר אינטלקטואל ואדריכל פולני שהתגורר בארץ,swpr ainvlqvwal wadrikl pwlni ehtgwrr barc
4016,עומרי,ywmri
4017,בעל מסעדת,byl msydt
4018,הספרייה,hspriih
4019,בתל,btl
4020,אביב ואז נער בקיבוץ נצר,abib waz nyr bqibwc ncr
4021,סירני,sirni
4022,אומר לעומת זאת כי,awmr lywmt zat ki
4023,מארק,marq
4024,לארץ בגלל שבקיבוץ חיה זולה צבינסקה,larc bgll ebqibwc xih zwlh cbinsqh
4025,האמא הרוחנית שלו מוורשה,hama hrwxnit elw mwwreh
4026,נוסף מספק יורק פרס,nwsp mspq iwrq prs
4027,שהיה שכנו של מארק בבניין מגורים בוורשה ואחד,ehih eknw el marq bbniin mgwrim bwwreh waxd
4028,הטובים בישראל,hvwbim bieral
4029,מארק בא לישראל כי הוזמן על,marq ba lieral ki hwzmn yl
4030,ידי מעריב,idi myrib
4031,ממוצא פולני פיליף בן סידר לו כרטיס טיסה,mmwca pwlni pilip bn sidr lw krvis vish
4032,והובטח למארק שיכתוב לעיתון,whwbvx lmarq eiktwb lyitwn
4033,אבל אחרי כמה כתבות הקשר נותק,abl axri kmh ktbwt hqer nwtq
4034,כך או אחרת,kk aw axrt
4035,חלאסקו הלא,xlasqw hla
4036,יהודי,ihwdi
4037,למצוא בישראל במה ספרותית בקרב העולים החדשים ממולדתו,lmcwa bieral bmh sprwtit bqrb hywlim hxdeim mmwldtw
4038,עשרות אלפי,yerwt alpi
4039,עזבו בשנים  את פולין לאחר גל אנטישמי,yzbw benim  at pwlin laxr gl anviemi
4040,והקימו כאן קהילת מהגרים,whqimw kan qhilt mhgrim
4041,מבחינה תרבותית,mbxinh trbwtit
4042,סופרים,swprim
4043,משוררים,mewrrim
4044,במאים,bmaim
4045,שחקנים ואינטלקטואלים,exqnim wainvlqvwalim
4046,מפולין הפכו את הספרייה הפולנית ברחוב אלנבי למרכזם הרוחני,mpwlin hpkw at hspriih hpwlnit brxwb alnbi lmrkzm hrwxni
4047,תרבותי,trbwti
4048,הגלות שכפה מארק חלאסקו על עצמו לא היטיבה עם חייו,hglwt ekph marq xlasqw yl ycmw la hivibh ym xiiw
4049,הוא מצא עצמו,hwa mca ycmw
4050,עשור לאחור,yewr laxwr
4051,ונאלץ לשוב ולהתפרנס ממלאכות מזדמנות,wnalc lewb wlhtprns mmlakwt mzdmnwt
4052,הוא עבד בישראל,hwa ybd bieral
4053,שאולה של חברו יורק פרס במפעל של אמקור בהרצליה פיתוח,eawlh el xbrw iwrq prs bmpyl el amqwr bhrclih pitwx
4054,כעוזר למודד,kywzr lmwdd
4055,וכנהג משאית,wknhg meait
4056,הוא אף אמור היה לשחק,hwa ap amwr hih lexq
4057,בתיאטרון בשפה האנגלית,btiavrwn beph hanglit
4058,אך בניגוד להבטחתו לא הופיע להצגת הבכורה,ak bnigwd lhbvxtw la hwpiy lhcgt hbkwrh
4059,כמנהגו העדיף לבלות בבאר,kmnhgw hydip lblwt bbar
4060,לשוכרה,lewkrh
4061,וההצגה בוטלה,whhcgh bwvlh
4062,אם להאמין לאוטוביוגרפיה שפרסם,am lhamin lawvwbiwgrpih eprsm
4063,יפות,ipwt
4064,העשרים,hyerim
4065,הוא היה גם סרסור זונות,hwa hih gm srswr zwnwt
4066,זה לא נכון שבישראל הוא היה,zh la nkwn ebieral hwa hih
4067,זונות,zwnwt
4068,אומר יורק פרס,awmr iwrq prs
4069,תקופה מסוימת התגורר חלאסקו בביתו של פרס,tqwph mswimt htgwrr xlasqw bbitw el prs
4070,וגם אחר,wgm axr
4071,כך,kk
4072,כשעבר לגור במלון,keybr lgwr bmlwn
4073,הס,hs
4074,ובמלון,wbmlwn
4075,ויקטורי,wiqvwri
4076,באלנבי,balnbi
4077,המשיכו השניים להיות חברים לשיחות נפש ולשתייה,hmeikw heniim lhiwt xbrim leixwt npe wletiih
4078,מארק היה גם איש,marq hih gm aie
4079,פוזות,pwzwt
4080,הוא רצה להראות שהוא גברי,hwa rch lhrawt ehwa gbri
4081,שהוא מאצו,ehwa macw
4082,הוא אהב מערבונים,hwa ahb myrbwnim
4083,גם התייחס לחיים,gm htiixs lxiim
4084,רק אחרי שראיתי את הסרט ענק עם גיימס דין הבנתי,rq axri eraiti at hsrv ynq ym giims din hbnti
4085,מארק לקח את המאניירות ואת המימיקה שלו,marq lqx at hmaniirwt wat hmimiqh elw
4086,הוא ניסה לחקות את גיימס דין,hwa nish lxqwt at giims din
4087,הוא היה גבוה,hwa hih gbwh
4088,יפה,iph
4089,מלא חן ונשים רצו,mla xn wneim rcw
4090,השתגעו אחריו,hetgyw axriw
4091,ומארק,wmarq
4092,להיות פופולרי ונחשק,lhiwt pwpwlri wnxeq
4093,אחת מאותן נשים בחייו למעשה האשה שבחייו היתה,axt mawtn neim bxiiw lmyeh haeh ebxiiw hith
4094,שטיינבך,eviinbk
4095,צעירה מקיבוץ נצר סירני,cyirh mqibwc ncr sirni
4096,שעל שמה נקרא אחד מסיפוריו,eyl emh nqra axd msipwriw
4097,ביניהם הפך לסיפור אהבה בהמשכים במשך עשר שנים,binihm hpk lsipwr ahbh bhmekim bmek yer enim
4098,כשעזב מארק את ישראל,keyzb marq at ieral
4099,עזבה אסתר את המשק והצטרפה כדיילת,yzbh astr at hmeq whcvrph kdiilt
4100,על,yl
4101,כדי שתוכל לראותו גם,kdi etwkl lrawtw gm
4102,גם אל ישראל נקשר בעבותות של אהבה,gm al ieral nqer bybwtwt el ahbh
4103,הוא תיאר אותה בחיבה,hwa tiar awth bxibh
4104,אך גם,ak gm
4105,ובאירוניה,wbairwnih
4106,כארץ של פליטי שואה,karc el plivi ewah
4107,קאובויים שיצאו מסרטי המערב הפרוע,qawbwiim eicaw msrvi hmyrb hprwy
4108,אידיאליסטים,aidialisvim
4109,כמעט כל מי שנתקל בו הפך מארק לדמות בסיפוריו,kmyv kl mi entql bw hpk marq ldmwt bsipwriw
4110,הנשים שבחייו,hneim ebxiiw
4111,ידידו יורק פרס ואשתו,ididw iwrq prs waetw
4112,פקיד הקבלה במלון,pqid hqblh bmlwn
4113,ויקטורי,wiqvwri
4114,נהגי מוניות,nhgi mwniwt
4115,רועי זונות,rwyi zwnwt
4116,תיירות אמריקאיות ושוטרים,tiirwt amriqaiwt wewvrim
4117,על אף ההשראה ששאב וספג,yl ap hherah eeab wspg
4118,בתל,btl
4119,אביב,abib
4120,היו חייו בסופו של דבר קשי,hiw xiiw bswpw el dbr qei
4121,יום,iwm
4122,הרעב והתסכול,hryb whtskwl
4123,כישלון הקשר עם,kielwn hqer ym
4124,מעריב,myrib
4125,והעובדה שרק שני סיפורים שלו תורגמו,whywbdh erq eni sipwrim elw twrgmw
4126,היום השמיני בשבוע,hiwm hemini bebwy
4127,וסיפור בהמשכים,wsipwr bhmekim
4128,הזה,hzh
4129,הכריעו אותו,hkriyw awtw
4130,ברגע של חולשה,brgy el xwleh
4131,כעדותו שלו,kydwtw elw
4132,בגדתי בעצמי,bgdti bycmi
4133,הוא נענה,hwa nynh
4134,של סוניה זימאן,el swnih ziman
4135,וב עזב את ישראל,wb yzb at ieral
4136,את סוניה,at swnih
4137,שחקנית גרמניה,exqnit grmnih
4138,עוד בפולין ב כשהופיעה בתפקיד הראשי בסרט על פי ספרו,ywd bpwlin b kehwpiyh btpqid hraei bsrv yl pi sprw
4139,היום,hiwm
4140,של השבוע,el hebwy
4141,זו היתה אהבה ממבט ראשון,zw hith ahbh mmbv raewn
4142,נזכר יורק פרס,nzkr iwrq prs
4143,ביום,biwm
4144,להסרטה הוצג מארק בפני סוניה,lhsrvh hwcg marq bpni swnih
4145,מארק,marq
4146,שלא דיבר גרמנית,ela dibr grmnit
4147,אמר למתורגמן,amr lmtwrgmn
4148,תגיד לה שאני רוצה ללכת איתה למיטה,tgid lh eani rwch llkt aith lmivh
4149,המתורגמן נבוך וסירב,hmtwrgmn nbwk wsirb
4150,מארק,marq
4151,בידה ולקח אותה לחדר בבית המלון,bidh wlqx awth lxdr bbit hmlwn
4152,אחר כך נפרדו דרכיהם,axr kk nprdw drkihm
4153,אך הקשר,ak hqer
4154,נשמר,nemr
4155,כשנודע לסוניה זימאן על מצבו המשפיל של אהובה היא נחתה בישראל,kenwdy lswnih ziman yl mcbw hmepil el ahwbh hia nxth bieral
4156,הופיעה במלון,hwpiyh bmlwn
4157,ויקטורי,wiqvwri
4158,וכמו בסיפור אגדות לקחה אותו עמה,wkmw bsipwr agdwt lqxh awtw ymh
4159,מארק,marq
4160,ששנא גרמנים,eena grmnim
4161,הציב תנאי,hcib tnai
4162,הם לא יתגוררו בגרמניה,hm la itgwrrw bgrmnih
4163,החתונה היתה,hxtwnh hith
4164,בלונדון,blwndwn
4165,ואת ביתם,wat bitm
4166,מכספה של סוניה,mksph el swnih
4167,הם קבעו בסן מוריץ בשוויץ,hm qbyw bsn mwric bewwic
4168,האושר והעושר לא ארכו זמן רב,hawer whywer la arkw zmn rb
4169,את כל תסכולו על שנכנע לפיתוי הכספי,at kl tskwlw yl enkny lpitwi hkspi
4170,של מנעמי החיים ואת שנאתו לגרמניה,el mnymi hxiim wat enatw lgrmnih
4171,פרק על רעייתו,prq yl ryiitw
4172,היה זה אך טבעי,hih zh ak vbyi
4173,לחבריו שהנישואין לא יחזיקו מעמד,lxbriw ehniewain la ixziqw mymd
4174,השניים נפרדו,heniim nprdw
4175,ועד היום מתקשה,wyd hiwm mtqeh
4176,פרס לזכור אם הפרידה נסתיימה גם בגירושים פורמליים,prs lzkwr am hpridh nstiimh gm bgirweim pwrmliim
4177,לאסקו,lasqw
4178,לחפש את עצמו ולנדוד,lxpe at ycmw wlndwd
4179,לבסוף,lbswp
4180,על פי הזמנתו של ידידו מפולין,yl pi hzmntw el ididw mpwlin
4181,והבימאי רומן פולנסקי,whbimai rwmn pwlnsqi
4182,עבר לארצות,ybr larcwt
4183,הברית והשתקע בלוס אנגלס,hbrit whetqy blws angls
4184,היו ציפיות גדולות שיוכל להשתלב בהוליווד ככותב תסריטים,hiw cipiwt gdwlwt eiwkl lhetlb bhwliwwd kkwtb tsrivim
4185,אך שוב טפחה,ak ewb vpxh
4186,על פניו,yl pniw
4187,מפיק סרטים גדול שחלאסקו ניהל פרשת אהבים עם אשתו הציב,mpiq srvim gdwl exlasqw nihl pret ahbim ym aetw hcib
4188,אולטימטום,awlvimvwm
4189,אני והכסף או חברך,ani whksp aw xbrk
4190,פולנסקי בחר בכסף,pwlnsqi bxr bksp
4191,וגם ידידות זו,wgm ididwt zw
4192,לסיומה,lsiwmh
4193,לאחרונה,laxrwnh
4194,בזיכרונותיו,bzikrwnwtiw
4195,רומן מאת פולנסקי,rwmn mat pwlnsqi
4196,משמיץ הבמאי,memic hbmai
4197,שחקן את ידידו מנוער,exqn at ididw mnwyr
4198,גם החלום האמריקאי וחלאסקו אהב את אמריקה,gm hxlwm hamriqai wxlasqw ahb at amriqh
4199,ממנה ונהנה,mmnh wnhnh
4200,קארד,qard
4201,שלו הלך והתנפץ,elw hlk whtnpc
4202,מצבו הנפשי והפיסי הלך והידרדר,mcbw hnpei whpisi hlk whidrdr
4203,לפרנסתו נאלץ לעבוד בבתי חרושת,lprnstw nalc lybwd bbti xrwet
4204,ומפעם לפעם קיבל תרומות מסופר אחר,wmpym lpym qibl trwmwt mswpr axr
4205,פולני,pwlni
4206,זאת,zat
4207,באמריקה,bamriqh
4208,יזי קושינסקי,izi qweinsqi
4209,כל אותה עת הוא קיווה,kl awth yt hwa qiwwh
4210,שיהיה לו,eihih lw
